competition_id,country,leagueName,season,first_id,point_diff,totalGames,goals,goalsPerGame,total_matches,playoffs_matches,total_wins
DK1,Denmark,superligaen,2022,2778,28,132,359,2.72,12.0,0.0,2.0
GB1,England,premier-league,2022,281,64,380,1084,2.853,56.0,20.0,32.0
FR1,France,ligue-1,2022,583,67,380,1067,2.808,32.0,2.0,15.0
L1,Germany,bundesliga,2022,27,42,306,971,3.173,62.0,20.0,30.0
GR1,Greece,super-league-1,2022,265,44,182,414,2.275,6.0,0.0,0.0
IT1,Italy,serie-a,2022,6195,71,380,974,2.563,65.0,29.0,31.0
NL1,Netherlands,eredivisie,2022,234,64,306,935,3.056,22.0,4.0,10.0
PO1,Portugal,liga-portugal-bwin,2022,294,65,306,763,2.493,34.0,10.0,16.0
RU1,Russia,premier-liga,2022,964,57,240,730,3.042,,,
SC1,Scotland,scottish-premiership,2022,371,65,198,583,2.944,12.0,0.0,0.0
ES1,Spain,laliga,2022,131,63,380,955,2.513,53.0,17.0,26.0
TR1,Turkey,super-lig,2022,141,62,325,987,3.037,14.0,2.0,8.0
UKR1,Ukraine,premier-liga,2022,660,59,240,587,2.446,14.0,2.0,1.0
